n_gt,proposal_contains_gt_pct,ranker_selected_gt_compatible_pct,centre_error_mean,centre_error_median,centre_error_p90,mean_iou,median_iou,pooled_micro_iou50_pct,pooled_micro_iou75_pct,sequence_macro_iou50_pct,inference_p50_ms,inference_p95_ms,inference_p99_ms,fold,config
266.0,98.87218045112782,78.94736842105263,21.27062828704428,5.005735154151291,44.86785888644147,0.23475392741068848,0.2124828803388634,12.781954887218044,0.7518796992481203,4.923111376530308,4.2486,7.494825,9.460010000000002,0,M1_S0
266.0,98.87218045112782,78.94736842105263,21.27062828704428,5.005735154151291,44.86785888644147,0.26619176335923583,0.28594063313726525,12.030075187969924,0.37593984962406013,7.197800771158165,5.578250000000001,8.44325,10.851415000000001,0,M1_S1
266.0,98.87218045112782,78.94736842105263,21.27062828704428,5.005735154151291,44.86785888644147,0.2747049798626664,0.29698764902504926,11.654135338345863,0.0,13.12426703190656,8.29245,11.854025,15.075175000000003,0,M1_S2
266.0,98.87218045112782,81.203007518797,17.300539450013353,4.875966530419287,41.3377323340556,0.24018083792919792,0.2050262316127211,12.781954887218044,1.8796992481203008,4.923111376530308,7.17165,10.30455,12.695480000000003,0,M2b_S0
266.0,98.87218045112782,81.203007518797,17.300539450013353,4.875966530419287,41.3377323340556,0.2858101626113091,0.2897538733793261,15.037593984962406,0.7518796992481203,17.05162367308433,9.223849999999999,16.78475,51.537475000000015,0,M2b_S1
266.0,98.87218045112782,81.203007518797,17.300539450013353,4.875966530419287,41.3377323340556,0.3015063329785075,0.30217263086714763,17.669172932330827,1.5037593984962405,26.26508670120001,10.5585,15.1952,17.828795000000003,0,M2b_S2
266.0,98.87218045112782,62.03007518796993,68.16359269374261,8.273769561268558,236.67337602552016,0.18154469224396394,0.09415204678362574,12.030075187969924,0.0,4.060913705583756,3.50805,6.046475,8.404590000000006,0,A0
266.0,98.87218045112782,81.203007518797,19.74272326871188,7.0,49.3254205477032,0.17969703062010056,0.1510088405735798,7.894736842105263,0.0,2.66497461928934,6.77485,10.81905,15.754545000000038,0,A1
266.0,98.87218045112782,81.203007518797,17.300539450013353,4.875966530419287,41.3377323340556,0.24018083792919792,0.2050262316127211,12.781954887218044,1.8796992481203008,4.923111376530308,6.731450000000001,10.610000000000001,13.41288000000003,0,A2
266.0,98.87218045112782,81.203007518797,17.300539450013353,4.875966530419287,41.3377323340556,0.2858101626113091,0.2897538733793261,15.037593984962406,0.7518796992481203,17.05162367308433,7.93005,11.3074,13.754020000000006,0,A3
266.0,98.87218045112782,81.203007518797,17.300539450013353,4.875966530419287,41.3377323340556,0.3015063329785075,0.30217263086714763,17.669172932330827,1.5037593984962405,26.26508670120001,10.5793,13.8884,15.701315000000001,0,A4
266.0,98.87218045112782,78.94736842105263,21.27062828704428,5.005735154151291,44.86785888644147,0.23475392741068848,0.2124828803388634,12.781954887218044,0.7518796992481203,4.923111376530308,3.99445,6.546575,8.65426,0,A2_M1
266.0,98.87218045112782,78.94736842105263,21.27062828704428,5.005735154151291,44.86785888644147,0.2747049798626664,0.29698764902504926,11.654135338345863,0.0,13.12426703190656,8.14035,14.6124,26.470975000000095,0,A4_M1
2410.0,91.07883817427386,84.149377593361,24.229117997127837,5.318380405098157,95.7827915274872,0.15633125326727157,0.03772290809327846,8.962655601659751,0.49792531120331945,4.66321243523316,6.1171,22.839674999999993,29.10670299999999,1,M1_S0
2410.0,91.07883817427386,84.149377593361,24.229117997127837,5.318380405098157,95.7827915274872,0.21834491395027286,0.17830096413413912,9.50207468879668,0.6639004149377593,7.654068427757774,6.2294,22.137379999999997,28.303925,1,M1_S1
2410.0,91.07883817427386,84.149377593361,24.229117997127837,5.318380405098157,95.7827915274872,0.33943542648166736,0.35947067401757793,23.153526970954356,2.4896265560165975,16.81920034231808,11.09685,25.025254999999987,33.265613999999964,1,M1_S2
2410.0,91.07883817427386,88.46473029045643,15.137902294575268,4.634964585705735,41.11146542363667,0.16207658103282188,0.04212140007302128,9.08713692946058,0.49792531120331945,4.727979274611399,40.665,100.27278999999994,157.1560449999999,1,M2b_S0
2410.0,91.07883817427386,88.46473029045643,15.137902294575268,4.634964585705735,41.11146542363667,0.22822695950562033,0.1930976100591846,9.50207468879668,0.6224066390041494,10.449870173343601,37.422250000000005,105.60485999999977,151.9953409999998,1,M2b_S1
2410.0,91.07883817427386,88.46473029045643,15.137902294575268,4.634964585705735,41.11146542363667,0.3676516232515731,0.38448210588959464,26.721991701244814,2.6970954356846475,26.678197214919486,38.90285,100.27409999999995,138.15312399999996,1,M2b_S2
2410.0,91.07883817427386,80.04149377593362,34.55274985495669,8.246211251235321,135.0951146156365,0.11273084737388024,0.031073446327683617,4.190871369294605,0.2074688796680498,2.180483592400691,6.8223,86.77883499999994,182.6630309999997,1,A0
2410.0,91.07883817427386,88.46473029045643,21.059152409671544,12.165525060596439,42.34512508330244,0.11625198112245248,0.03402412619857717,4.3153526970954355,0.2074688796680498,2.2452504317789295,22.018700000000003,80.53519499999997,147.13394599999975,1,A1
