n_gt,pooled_micro_iou50_pct,pooled_micro_iou75_pct,sequence_macro_iou50_pct,fold_mean_iou50_pct,mean_iou,median_iou,centre_error_mean,centre_error_median,centre_error_p90,config,centre,size,inference_p50_ms,inference_p95_ms,inference_p99_ms
15292.0,40.48522103060424,10.731101229400995,36.267872488616284,37.66143059635209,0.4328728675263787,0.43938689469801717,27.304142484221643,2.5109531352565053,54.58384068645448,C1_CENTROID__S2,C1_CENTROID,S2,10.06407,16.3444,26.741042199999953
15292.0,9.83520795187026,0.6539366989275438,9.291133139750295,10.230849210156446,0.27196756096891495,0.2647058823529412,27.304142484221643,2.5109531352565053,54.58384068645448,C1_CENTROID__S3,C1_CENTROID,S3,6.827390000000001,11.787375999999998,14.7850774
15292.0,32.42218153282762,7.585665707559508,25.24230718726509,26.93165036337158,0.40018893545864825,0.4012618255010839,27.304142484221643,2.5109531352565053,54.58384068645448,C1_CENTROID__S4,C1_CENTROID,S4,10.526509999999998,16.76689199999999,23.59566400000005
15292.0,43.06827099136804,10.646089458540413,37.04621270285161,39.01172947830638,0.4440856891920448,0.45683913552952315,27.112675854131002,2.23606797749979,55.08265701650524,C4_MEDIAN__S2,C4_MEDIAN,S2,9.81689,17.122192999999996,28.02801960000001
15292.0,11.64007324091028,0.8828145435521841,9.122983226770252,10.497175067295217,0.2785199997850874,0.2687154465103179,27.112675854131002,2.23606797749979,55.08265701650524,C4_MEDIAN__S3,C4_MEDIAN,S3,6.57791,11.151781999999994,13.695480800000002
15292.0,36.05153021187549,7.722992414334293,28.076207529547112,30.60256777175611,0.4144315290746894,0.41959275267915375,27.112675854131002,2.23606797749979,55.08265701650524,C4_MEDIAN__S4,C4_MEDIAN,S4,10.198960000000001,15.899800999999997,19.4337794
15292.0,38.87653675124248,9.142035051007063,35.88305460211406,36.47220685031019,0.42240951636666957,0.4281779960978775,27.452107386524574,2.8027617228976602,54.56229314614805,C5_SOFT_BACKGROUND_CENTROID__S2,C5_SOFT_BACKGROUND_CENTROID,S2,11.06768,22.150467,27.5109286
15292.0,8.612346324875752,0.4904525241956579,8.514221100343862,9.129614616293628,0.2659515446371848,0.25966904223435794,27.452107386524574,2.8027617228976602,54.56229314614805,C5_SOFT_BACKGROUND_CENTROID__S3,C5_SOFT_BACKGROUND_CENTROID,S3,7.87805,17.245861999999995,22.407826799999995
15292.0,30.787339785508763,6.500130787339786,24.448764794379457,25.456082785296733,0.3905115305310267,0.3913667058875785,27.452107386524574,2.8027617228976602,54.56229314614805,C5_SOFT_BACKGROUND_CENTROID__S4,C5_SOFT_BACKGROUND_CENTROID,S4,10.69992,27.92170099999999,49.49847299999987
15292.0,39.75281192780539,8.533873921004448,35.69631702430218,36.35596967473823,0.4268171347012569,0.43945304503221927,27.614706817183798,2.644119987585633,54.34411898003869,C6_RIDGE_RESIDUAL__S2,C6_RIDGE_RESIDUAL,S2,11.27189,17.66263799999999,28.207940600000008
15292.0,9.782893015956056,0.536228093120586,9.146794724596964,9.874103514235866,0.2700790268646481,0.2647058823529412,27.614706817183798,2.644119987585633,54.34411898003869,C6_RIDGE_RESIDUAL__S3,C6_RIDGE_RESIDUAL,S3,6.799370000000001,13.454563999999996,21.0693498
15292.0,32.70991368035574,6.7093905309965995,26.857199490096217,27.456782809273914,0.3990953916271138,0.4047010582980039,27.614706817183798,2.644119987585633,54.34411898003869,C6_RIDGE_RESIDUAL__S4,C6_RIDGE_RESIDUAL,S4,11.86474,20.19340499999997,43.34367000000002
15292.0,41.13261836254251,10.58069578864766,38.278669762288615,38.37986213262408,0.4355375339151133,0.44382206545774633,27.29599445366993,2.4800421527774557,54.3713198536884,C7_EXTRATREES_RESIDUAL__S2,C7_EXTRATREES_RESIDUAL,S2,14.78897,22.194007999999993,27.02215480000001
15292.0,10.351817944023018,0.6343185979597175,9.243716498761353,10.129237434830094,0.27412505055534475,0.2673818991242263,27.29599445366993,2.4800421527774557,54.3713198536884,C7_EXTRATREES_RESIDUAL__S3,C7_EXTRATREES_RESIDUAL,S3,11.50982,17.75537,23.19437739999997
15292.0,33.33115354433691,7.834161653151975,26.54048040821456,28.001248990704244,0.4048276641599657,0.40690984660921026,27.29599445366993,2.4800421527774557,54.3713198536884,C7_EXTRATREES_RESIDUAL__S4,C7_EXTRATREES_RESIDUAL,S4,15.97421,25.887034999999997,45.59451919999989
