n_gt,pooled_micro_iou50_pct,pooled_micro_iou75_pct,sequence_macro_iou50_pct,fold_mean_iou50_pct,mean_iou,median_iou,centre_error_mean,centre_error_median,centre_error_p90,sensor,config
10184.0,41.75176747839749,14.218381775333857,35.58896101468264,35.0012133264332,0.460002849998096,0.4419450067558004,5.901149719280582,2.051027777630176,5.400692931092739,DAVIS,C1_CENTROID__S2
3905.0,39.28297055057619,3.6875800256081948,37.272038597193045,40.11263505996739,0.35597818111848434,0.43412474184028105,89.09416563303364,3.37931251683234,366.6248195884704,DVX,C1_CENTROID__S2
1203.0,33.66583541147132,4.073150457190358,33.66583541147132,33.66583541147132,0.45280803704496464,0.4360421598668335,7.88535640765948,5.448590207130835,11.818557600437813,EVK4,C1_CENTROID__S2
10184.0,12.313432835820896,0.9131971720345641,12.701876810767597,14.589651224707023,0.30480540251046506,0.2951388888888889,5.901149719280582,2.051027777630176,5.400692931092739,DAVIS,C1_CENTROID__S3
3905.0,6.274007682458387,0.15364916773367476,6.9898276614927175,7.388995565308828,0.2097738366384357,0.21393034825870647,89.09416563303364,3.37931251683234,366.6248195884704,DVX,C1_CENTROID__S3
1203.0,0.41562759767248547,0.0831255195344971,0.41562759767248547,0.41562759767248547,0.19586275236656683,0.17313432835820897,7.88535640765948,5.448590207130835,11.818557600437813,EVK4,C1_CENTROID__S3
10184.0,33.62136684996072,10.231736056559308,29.05974337108093,25.533159123796132,0.4312349067120592,0.41325934623115546,5.901149719280582,2.051027777630176,5.400692931092739,DAVIS,C1_CENTROID__S4
3905.0,35.64660691421255,2.9449423815621,23.10468143012006,22.731503070756943,0.3436385427403143,0.4170354647028417,89.09416563303364,3.37931251683234,366.6248195884704,DVX,C1_CENTROID__S4
1203.0,11.803823773898587,0.24937655860349128,11.803823773898586,11.803823773898586,0.3209346647357513,0.29358358288729375,7.88535640765948,5.448590207130835,11.818557600437813,EVK4,C1_CENTROID__S4
10184.0,43.961115475255305,13.678318931657502,37.938486972750155,36.910956138503515,0.4714881954103619,0.46292805850846797,5.708990622483358,2.0,5.0990195135927845,DAVIS,C4_MEDIAN__S2
3905.0,43.918053777208705,4.71190781049936,37.87949702147838,40.63473993812767,0.3707847124390461,0.4609459849537783,88.77453882431726,2.23606797749979,367.21247255505904,DVX,C4_MEDIAN__S2
1203.0,33.416458852867834,4.738154613466334,33.416458852867834,33.416458852867834,0.4534389741114585,0.4350723620815813,8.11646894365827,5.830951894845301,12.083045973594572,EVK4,C4_MEDIAN__S2
10184.0,13.58012568735271,1.1390416339355853,11.568169227501908,11.524626605383904,0.3091180941777664,0.2979568731945768,5.708990622483358,2.0,5.0990195135927845,DAVIS,C4_MEDIAN__S3
3905.0,10.038412291933419,0.48655569782330343,7.766216679675816,8.161866227769396,0.22407211990527362,0.21818181818181817,88.77453882431726,2.23606797749979,367.21247255505904,DVX,C4_MEDIAN__S3
1203.0,0.41562759767248547,0.0,0.41562759767248547,0.41562759767248547,0.19623236689699958,0.17313432835820897,8.11646894365827,5.830951894845301,12.083045973594572,EVK4,C4_MEDIAN__S3
10184.0,36.223487824037704,9.397093479968579,32.060685737020464,29.20163339440544,0.44282469503237426,0.43033594656758684,5.708990622483358,2.0,5.0990195135927845,DAVIS,C4_MEDIAN__S4
3905.0,43.457106274007685,5.2752880921895,24.946276745072424,24.400295646078114,0.37112458119728703,0.4569186064079152,88.77453882431726,2.23606797749979,367.21247255505904,DVX,C4_MEDIAN__S4
1203.0,12.136325852036576,0.1662510390689942,12.136325852036576,12.136325852036576,0.3211815609911539,0.29260777209291555,8.11646894365827,5.830951894845301,12.083045973594572,EVK4,C4_MEDIAN__S4
10184.0,39.827179890023565,12.009033778476041,35.03008205767519,33.800372732200124,0.44642341831692717,0.429672087147103,6.11795947921147,2.3581222088249927,5.638616924924486,DAVIS,C5_SOFT_BACKGROUND_CENTROID__S2
3905.0,37.82330345710628,3.3546734955185658,37.01303259151193,39.812950517380635,0.3513550389003651,0.42266116336363896,88.87368092200165,3.6158632720499417,364.11317938205406,DVX,C5_SOFT_BACKGROUND_CENTROID__S2
1203.0,33.83208645054032,3.657522859517872,33.83208645054032,33.83208645054032,0.45024388311070523,0.4337310728249987,8.647542550586707,6.377299058775163,12.497476463839808,EVK4,C5_SOFT_BACKGROUND_CENTROID__S2
10184.0,10.644147682639435,0.6775333857030637,11.211031145711212,13.443533605215771,0.2972400923613822,0.28848932350340206,6.11795947921147,2.3581222088249927,5.638616924924486,DAVIS,C5_SOFT_BACKGROUND_CENTROID__S3
3905.0,5.8642765685019205,0.12804097311139565,6.84012593275225,7.304873588442371,0.20699743071227075,0.21106111217055612,88.87368092200165,3.6158632720499417,364.11317938205406,DVX,C5_SOFT_BACKGROUND_CENTROID__S3
