method,precision,recall,f1,ap50,tp,fp,fn,mean_matched_iou,sequence_macro_f1,sequence_macro_recall,empty_window_fpr,accepted_path_mismatches
CHAMPION_D2,0.5371556217423679,0.3051865640071072,0.3892306032157117,0.207494616916604,3607,3108,8212,0.6681985219392849,0.3352864860558115,0.28462826655775025,0.020989586649160695,
TEMPORAL_RESCUE,0.5371556217423679,0.3051865640071072,0.3892306032157117,0.207494616916604,3607,3108,8212,0.6681985219392849,0.3352864860558115,0.28462826655775025,0.020989586649160695,0
