fold,method,threshold,precision,recall,f1,ap50,tp,fp,fn,mean_matched_iou,sequence_macro_f1,sequence_macro_recall,empty_window_fpr,rescue_threshold,d2_threshold,accepted_path_mismatches,acct_d2_rejected_windows,acct_rescue_attempts,acct_rescue_emissions,acct_rescue_true_positives,acct_rescue_false_positives,acct_rescue_precision,acct_new_tp_gained,acct_new_fp_introduced,acct_rescue_tp_top20_present,acct_rescue_tp_top1_geometry_ok,ap50_base_conf,ap50_d2_gate
1,CHAMPION_D2,0.6330060940344227,0.3092848180677541,0.2045643153526971,0.24625374625374627,0.10671600731724294,493,1101,1917,0.6160280212687038,0.2181384426504255,0.22312382126580968,0.006747550768831506,,,,,,,,,,,,,,,
1,TEMPORAL_RESCUE,0.999999992323262,0.3092848180677541,0.2045643153526971,0.24625374625374627,0.10671600731724294,493,1101,1917,0.6160280212687038,0.2181384426504255,0.22312382126580968,0.006747550768831506,,0.6330060940344227,0,16227,16227,0,0,0,0.0,0,0,0,0,0.14602937105710617,0.11236576850558959
4,CHAMPION_D2,0.5187407372677484,0.6080843585237259,0.3309597194175789,0.42863041982105987,0.30827322651596506,3114,2007,6295,0.6764580135354944,0.4524345294611975,0.34613271184969086,0.03523162252948989,,,,,,,,,,,,,,,
4,TEMPORAL_RESCUE,0.9999999975592171,0.6080843585237259,0.3309597194175789,0.42863041982105987,0.30827322651596506,3114,2007,6295,0.6764580135354944,0.4524345294611975,0.34613271184969086,0.03523162252948989,,0.5187407372677484,0,17089,17089,0,0,0,0.0,0,0,0,0,0.3441996505087046,0.3607801584864429
