method,mean,std,min,max
D0_T0,0.5772832778941025,0.16111988452976378,0.28636094318399374,0.7417039716091796
D1_T1,0.7429188816814166,0.09460070712670011,0.5681776048953469,0.8236381562591084
D2_G1,0.7072292076789116,0.11421337186979273,0.5187407372677484,0.8222670903322002
D3_G2,0.47256366714070247,0.1639772325628859,0.20722133767556133,0.6538938335082256
