method,precision,recall,f1,ap50_mean_folds,tp,fp,fn,sequence_macro_f1,empty_fp_rate
D0,0.2739018087855297,0.38817682448339,0.3211773617573856,0.2694025216946211,5936,15736,9356,0.3270674276636074,0.1320196742934297
D1,0.34501157109796865,0.35096782631441276,0.3479642116182573,0.2694025216946211,5367,10189,9925,0.35837910867111916,0.06904906991435655
D2,0.5721830985915493,0.3187941407271776,0.40945741642869143,0.2694025216946211,4875,3645,10417,0.3897849759029576,0.010039072479660594
D3,0.42107455226988755,0.26445200104629873,0.3248714652956298,0.2694025216946211,4044,5560,11248,0.3532893516366197,0.04600688044741143
