fold,method,n,centre_error_mean,centre_error_median,centre_error_p90,iou_oracle_mean,iou50_pct,combined_localization_block_p50_ms,combined_localization_block_p95_ms
0,C0_grid,263,7.155359186918687,4.242640687119285,18.027756377319946,0.35805293240754,28.89733840304182,0.0863,0.29095999999999994
0,C1_centroid,263,7.509964682542487,4.429221150495875,18.489620910691333,0.3521007712457636,24.714828897338403,0.0863,0.29095999999999994
0,C2_recent_centroid,263,6.879689429795301,4.3305191852492895,16.419534776068318,0.36644098901993605,28.13688212927757,0.0863,0.29095999999999994
0,C3_linear_motion,263,11.261240021125305,4.676110478455461,27.352973281127422,0.300346663643469,20.912547528517113,0.0863,0.29095999999999994
1,C0_grid,2195,8.145847243330005,6.324555320336759,15.811388300841896,0.4870836121136565,53.30296127562642,0.1806,1.1929999999999945
1,C1_centroid,2195,5.643943745287931,4.126893504804794,10.536744380392747,0.5889101359109311,64.32801822323462,0.1806,1.1929999999999945
1,C2_recent_centroid,2195,5.626094139169758,4.2029673007195045,10.472522312004752,0.5858474833826282,63.9635535307517,0.1806,1.1929999999999945
1,C3_linear_motion,2195,7.637207044450437,4.244175383910055,11.123124464333952,0.5750421793495003,63.097949886104786,0.1806,1.1929999999999945
2,C0_grid,3153,3.2472030940868635,3.1622776601683795,5.0,0.5377334621619466,62.638756739613065,0.0901,0.17311999999999989
2,C1_centroid,3153,1.442023666625338,1.1711031049818392,2.5010204532033034,0.7478261342723074,89.40691405011101,0.0901,0.17311999999999989
2,C2_recent_centroid,3153,1.4634340083859445,1.1824362156064885,2.583365217132446,0.7439863198208769,89.37519822391373,0.0901,0.17311999999999989
2,C3_linear_motion,3153,1.5521919507929394,1.2266635180085166,2.7655088291374086,0.7352032784243697,88.01141769743101,0.0901,0.17311999999999989
3,C0_grid,50,14.102154816608161,8.97213595499958,27.864652693701412,0.3863405003728683,40.0,0.23395,0.45855999999999997
3,C1_centroid,50,15.194134401528954,13.402471951713853,28.19305456176153,0.3780938129409383,30.0,0.23395,0.45855999999999997
3,C2_recent_centroid,50,13.69312148219884,11.883235567410159,24.79457472983615,0.4164621736803981,44.0,0.23395,0.45855999999999997
3,C3_linear_motion,50,27.24835036918897,23.25913344425701,48.95393784578958,0.2102381644328045,16.0,0.23395,0.45855999999999997
4,C0_grid,8844,4.3256906835547735,4.123105625617661,7.0710678118654755,0.3717462640450951,30.303030303030305,0.193,0.309185
4,C1_centroid,8844,2.7313347669805563,2.3584952830141606,5.086857144529697,0.5250313039694668,53.36951605608322,0.193,0.309185
4,C2_recent_centroid,8844,2.760552015792419,2.3762872658979584,5.150011575971735,0.5231635032795253,52.98507462686567,0.193,0.309185
4,C3_linear_motion,8844,2.769137706098572,2.3863233131533446,5.133567843210456,0.5221144476984005,52.713704206241516,0.193,0.309185
