metric,argpartition,deterministic,delta_pp
top1_micro,0.7106984043944546,0.7126602144912373,0.19618100967826457
top3_micro,0.8410933821606068,0.8412241695003924,0.013078733978555412
top5_micro,0.8805257651059377,0.8802641904263667,-0.026157467957099723
top10_micro,0.9241433429244049,0.9243395239340831,0.019618100967822016
top20_micro,0.9508893539105414,0.9485351817944023,-0.2354172116139086
top1_macro,0.5474690011106764,0.547385572456661,-0.008342865401544941
top3_macro,0.7824666253339897,0.7882236149608763,0.5756989626886644
top5_macro,0.833392284321929,0.8291552580920002,-0.4237026229928831
top10_macro,0.901083798827204,0.8974265338772539,-0.3657264949950112
top20_macro,0.9431752844271946,0.9559560667577753,1.2780782330580776
