policy,precision,recall,f1,ap50_mean_folds,tp,fp,fn,sequence_macro_f1,sequence_macro_recall,pos_loc_recall,empty_fp_rate
H1_P1,0.2810615199034982,0.3656814020402825,0.3178356257815164,0.2590819983768445,5592,14304,9700,0.3462309403928329,0.37708901436787673,0.32451741419678093,0.11315627094430869
P1,0.2739018087855297,0.38817682448339,0.3211773617573856,0.2545114723177331,5936,15736,9356,0.3270674276636074,0.36826163932474537,0.34407778653347504,0.12367806766693348
P3,0.1466951798048325,0.39026942191995817,0.21323805270209917,0.25455081744237645,5968,34715,9324,0.27876346891245796,0.3979946918113137,0.368261317105038,0.12367806766693348
P5,0.1041521405661693,0.39072717760920744,0.16446462978254886,0.25543365308129734,5975,51393,9317,0.26626337490303775,0.4062161538368422,0.3733666789619291,0.12367806766693348
