n_gt,pooled_micro_iou50_pct,pooled_micro_iou75_pct,sequence_macro_iou50_pct,fold_mean_iou50_pct,mean_iou,median_iou,centre_error_mean,centre_error_median,centre_error_p90,proposal_contains_gt_pct,extratrees_top1_compatible_pct,extratrees_top3_contains_compatible_pct,neural_selected_compatible_pct,fold,config
266.0,21.804511278195488,1.5037593984962405,26.092582254707224,21.804511278195488,0.3361123904474965,0.35072843592647296,16.595748368054032,4.0,41.36387481841126,98.87218045112782,81.203007518797,94.73684210526316,81.203007518797,0,B_CURRENT
2410.0,26.307053941908713,2.904564315352697,26.464730450052727,26.307053941908716,0.3686751948291558,0.38517698390987964,15.246679489106556,4.8465819792792,40.575773230102186,91.07883817427386,88.46473029045643,90.45643153526972,88.46473029045643,1,B_CURRENT
3157.0,64.45993031358886,18.8470066518847,59.92274121255013,64.45993031358886,0.559763676207762,0.6046426914963751,1.8430090300975106,1.0,2.23606797749979,99.87329743427304,99.33481152993348,99.87329743427304,99.33481152993348,2,B_CURRENT
50.0,44.0,0.0,41.904761904761905,44.0,0.34874615088663796,0.34360230428614436,21.86596544301735,10.2660969988462,66.4198972328524,100.0,68.0,92.0,68.0,3,B_CURRENT
9409.0,40.86512913168243,10.256137740461261,41.416190211906745,40.86512913168243,0.42858106802514334,0.44825178399777205,38.95341298265738,2.23606797749979,153.0679567507215,93.99511106387502,86.21532575193963,88.89361249867149,86.21532575193963,4,B_CURRENT
266.0,41.72932330827068,3.7593984962406015,31.983887684405037,41.72932330827068,0.3950644682544887,0.4510486786030873,16.734216716970717,2.7986621572651478,44.330976267711605,98.87218045112782,81.203007518797,94.73684210526316,81.203007518797,0,N1_TOP1_BOX
2410.0,26.348547717842322,2.199170124481328,20.846261910793164,26.348547717842326,0.31578601085874464,0.3202765867934836,21.669596187274124,7.93221477548161,61.37498736716223,91.07883817427386,88.46473029045643,90.45643153526972,88.46473029045643,1,N1_TOP1_BOX
3157.0,35.69844789356984,3.2942667089008553,35.0483604623732,35.69844789356985,0.4377540030812673,0.4355501102037827,3.1003851592497536,1.8851708865152377,5.144228317523257,99.87329743427304,99.33481152993348,99.87329743427304,99.33481152993348,2,N1_TOP1_BOX
50.0,20.0,0.0,22.271062271062267,20.0,0.2369121899718333,0.18049050828494134,24.559605537791196,18.919704675348495,66.17353041220338,100.0,68.0,92.0,68.0,3,N1_TOP1_BOX
9409.0,38.8989265596769,9.575937931767458,36.242475296734675,38.89892655967691,0.42310690315497185,0.43616509724162056,39.2947487619384,2.838285725128193,149.2883163502689,93.99511106387502,86.21532575193963,88.89361249867149,86.21532575193963,4,N1_TOP1_BOX
266.0,52.63157894736842,3.3834586466165413,39.22528788606592,52.63157894736842,0.4526917548136921,0.5102480904646218,11.280250229837874,2.358411225704221,23.981264986495695,98.87218045112782,81.203007518797,94.73684210526316,90.22556390977444,0,N2_TOP3_JOINT
2410.0,35.10373443983403,3.775933609958506,29.385094018778812,35.10373443983402,0.37514716712685015,0.41082919505507715,20.378236388191183,6.93439781003573,56.983218143289115,91.07883817427386,88.46473029045643,90.45643153526972,87.26141078838174,1,N2_TOP3_JOINT
3157.0,45.26449160595502,5.068102629078239,53.95258315640481,45.26449160595502,0.47767767500741415,0.4755426845270319,2.0500510458364185,1.5674356436072325,3.4569641030855007,99.87329743427304,99.33481152993348,99.87329743427304,99.80994615140956,2,N2_TOP3_JOINT
50.0,22.0,0.0,22.454212454212456,22.0,0.3095134934505398,0.31731274558802347,16.481441276250063,10.8782571781041,34.69700303049467,100.0,68.0,92.0,86.0,3,N2_TOP3_JOINT
9409.0,40.13178871293442,9.78850037198427,37.94370112091098,40.13178871293442,0.4359186439738724,0.4449360722460667,25.77152405867912,2.76829251747351,124.7532971389087,93.99511106387502,86.21532575193963,88.89361249867149,88.5853969603571,4,N2_TOP3_JOINT
